Scheme Name,Objective,Key Benefits,Eligibility,Implementing Agency,Source,State,All Documents Required
Atma Nirbhar Krishi Yojana (ANKY),Promote self-reliance in agriculture by providing financial assistance.,"Financial support for activities like scientific land terracing, double cropping, farm mechanization, and apiculture.","Farmers, Self Help Groups (SHGs), and Farmer Producer Organizations (FPOs) in Arunachal Pradesh.","Department of Agriculture, Government of Arunachal Pradesh",https://www.myscheme.gov.in/schemes/anky,arunachal_pradesh,Aadhaar Card; Land ownership documents; Bank account details; Application form
Atma Nirbhar Plantation Yojana (ANPY),Encourage plantation activities to boost horticulture and forestry.,Financial assistance for plantation of various horticultural and forestry species.,"Individual farmers, SHGs, and FPOs with specified landholding criteria.","Department of Horticulture, Government of Arunachal Pradesh",https://lohit.nic.in/schemes/,arunachal_pradesh,Aadhaar Card; Land holding certificate; Bank account details; Application form
Chief Minister Krishi Rinn Yojana,Provide interest-free crop loans to farmers.,Crop loans at zero interest rates to support agricultural activities.,Farmers in Arunachal Pradesh with valid landholding certificates.,"Department of Agriculture, Government of Arunachal Pradesh",https://namsai.nic.in/schemes/,arunachal_pradesh,Aadhaar Card; Land holding certificate; Bank account details; Application form
Mission for Integrated Development of Horticulture (MIDH),Promote holistic growth of the horticulture sector.,"Support for research, technology promotion, extension, post-harvest management, processing, and marketing.",Farmers and entrepreneurs involved in horticulture.,"Department of Horticulture, Government of Arunachal Pradesh",https://roing.nic.in/horticulture/,arunachal_pradesh,Aadhaar Card; Land ownership documents; Bank account details; Application form
AGR 2 (Farm Mechanization) Scheme of Farmers Other Than SC/ST,Provide financial assistance for the purchase of agricultural equipment to increase crop production.,"Financial assistance for purchasing equipment like power tillers, rice transplanters, and self-propelled machinery.",Farmers other than SC/ST in Gujarat.,"Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.",https://www.myscheme.gov.in/schemes/agr2fmsfotscst,gujarat,"Aadhaar card, Proof of identity, Land ownership documents, Bank account details, Application form"
Mukhya Mantri Mahila Kisan Sashaktikaran Yojana (MMKSY),Empower women farmers by providing financial assistance and training.,Financial support and training programs for women farmers.,Women farmers in Gujarat.,"Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.",https://www.myscheme.gov.in/schemes/mukhya-mantri-mahila-kisan-sashaktikaran-yojana-mmksy,gujarat,"Aadhaar card, Proof of identity, Land ownership documents, Bank account details, Application form"
Mukhyamantri Krishi Aashirwad Yojna,Provide financial assistance to small and marginal farmers.,"₹5,000 per acre per year (up to 5 acres) through Direct Benefit Transfer.",Small and marginal farmers with arable land.,"Department of Agriculture, Jharkhand.",https://www.manage.gov.in/fpoacademy/SGSchemes/Jharkhand.pdf,jharkhand,Aadhaar card; Passport size photograph; Permanent residence certificate; Bank account details; Bank passbook copy.
Jharkhand Krishi Rin Mafi Yojana,Waive off loans for farmers.,"Loan waiver up to ₹50,000 per farmer.",Permanent residents of Jharkhand.,"Department of Agriculture, Jharkhand.",https://schemes.vikaspedia.in/viewcontent/schemesall/state-specific-schemes/welfare-schemes-of-jharkhand/jharkhand-krishi-rin-mafi-yojana?lgn=en,jharkhand,Aadhaar number; Ration card; Kisan Credit Card (KCC).
Chief Minister Sustainable Agriculture Irrigation Scheme,Enhance water conservation and irrigation facilities.,"Subsidy ranging from ₹14,433 to ₹75,000 for constructing farm ponds, depending on size.",Farmers with at least 0.20 ha land in Konkan region and 0.40 ha in the rest of Maharashtra.,"Department of Agriculture, Maharashtra.",https://www.myscheme.gov.in/schemes/chief-minister-sustainable-agriculture-irrigation-scheme,maharashtra,"Application form, land records, bank account details, Aadhaar card, and photographs."
APL Farmer Scheme,Provide financial assistance to APL (saffron) cardholder farmers in drought-prone areas.,Direct Benefit Transfer (DBT) of ₹150 per beneficiary per month.,"APL (saffron) cardholder farmers in 14 drought-prone districts, including all districts of Aurangabad and Amravati divisions, and Wardha in Nagpur division.","Department of Food, Civil Supplies and Consumer Protection, Maharashtra.",https://mahafood.gov.in/scheme/apl-farmer/,maharashtra,"APL card, bank account details, Aadhaar card, and photographs."
