Scheme Name,Objective,Key Benefits,Eligibility,Source
Atma Nirbhar Krishi Yojana (ANKY),Promote self-reliance in agriculture by providing financial assistance.,"Financial support for activities like scientific land terracing, double cropping, farm mechanization, and apiculture.","Farmers, Self Help Groups (SHGs), and Farmer Producer Organizations (FPOs) in Arunachal Pradesh.",https://www.myscheme.gov.in/schemes/anky
Atma Nirbhar Plantation Yojana (ANPY),Encourage plantation activities to boost horticulture and forestry.,Financial assistance for plantation of various horticultural and forestry species.,"Individual farmers, SHGs, and FPOs with specified landholding criteria.",https://lohit.nic.in/schemes/
Chief Minister Krishi Rinn Yojana,Provide interest-free crop loans to farmers.,Crop loans at zero interest rates to support agricultural activities.,Farmers in Arunachal Pradesh with valid landholding certificates.,https://namsai.nic.in/schemes/
Mission for Integrated Development of Horticulture (MIDH),Promote holistic growth of the horticulture sector.,"Support for research, technology promotion, extension, post-harvest management, processing, and marketing.",Farmers and entrepreneurs involved in horticulture.,https://roing.nic.in/horticulture/
AGR 2 (Farm Mechanization) Scheme of Farmers Other Than SC/ST,Provide financial assistance for the purchase of agricultural equipment to increase crop production.,"Financial assistance for purchasing equipment like power tillers, rice transplanters, and self-propelled machinery.",Farmers other than SC/ST in Gujarat.,https://www.myscheme.gov.in/schemes/agr2fmsfotscst
Mukhya Mantri Mahila Kisan Sashaktikaran Yojana (MMKSY),Empower women farmers by providing financial assistance and training.,Financial support and training programs for women farmers.,Women farmers in Gujarat.,https://www.myscheme.gov.in/schemes/mukhya-mantri-mahila-kisan-sashaktikaran-yojana-mmksy
Mukhyamantri Krishi Aashirwad Yojna,Provide financial assistance to small and marginal farmers.,"₹5,000 per acre per year (up to 5 acres) through Direct Benefit Transfer.",Small and marginal farmers with arable land.,https://www.manage.gov.in/fpoacademy/SGSchemes/Jharkhand.pdf
Jharkhand Krishi Rin Mafi Yojana,Waive off loans for farmers.,"Loan waiver up to ₹50,000 per farmer.",Permanent residents of Jharkhand.,https://schemes.vikaspedia.in/viewcontent/schemesall/state-specific-schemes/welfare-schemes-of-jharkhand/jharkhand-krishi-rin-mafi-yojana?lgn=en
Chief Minister Sustainable Agriculture Irrigation Scheme,Enhance water conservation and irrigation facilities.,"Subsidy ranging from ₹14,433 to ₹75,000 for constructing farm ponds, depending on size.",Farmers with at least 0.20 ha land in Konkan region and 0.40 ha in the rest of Maharashtra.,https://www.myscheme.gov.in/schemes/chief-minister-sustainable-agriculture-irrigation-scheme
APL Farmer Scheme,Provide financial assistance to APL (saffron) cardholder farmers in drought-prone areas.,Direct Benefit Transfer (DBT) of ₹150 per beneficiary per month.,"APL (saffron) cardholder farmers in 14 drought-prone districts, including all districts of Aurangabad and Amravati divisions, and Wardha in Nagpur division.",https://mahafood.gov.in/scheme/apl-farmer/
